using time: 0.018817, loss: 0.86441809
using time: 0.019569, loss: 0.84112215
using time: 0.013923, loss: 0.80364478
using time: 0.025579, loss: 0.85590136
using time: 0.014471, loss: 0.85569221
using time: 0.025487, loss: 0.81329966
using time: 0.015982, loss: 0.84771705
using time: 0.018662, loss: 0.89622611
using time: 0.019841, loss: 0.82408160
using time: 0.016147, loss: 0.84537947
using time: 0.027117, loss: 0.84150726
using time: 0.022099, loss: 0.85491103
using time: 0.017698, loss: 0.79170614
using time: 0.016238, loss: 0.85921204
using time: 0.013874, loss: 0.79423440
using time: 0.014512, loss: 0.80259603
using time: 0.017821, loss: 0.80597651
using time: 0.016113, loss: 0.82152987
using time: 0.027452, loss: 0.85610342
using time: 0.033377, loss: 0.82737970
using time: 0.019102, loss: 0.89311004
using time: 0.016417, loss: 0.82566363
using time: 0.018764, loss: 0.81865591
using time: 0.021292, loss: 0.82191652
using time: 0.031280, loss: 0.84708643
using time: 0.019674, loss: 0.84757131
using time: 0.014399, loss: 0.82751584
using time: 0.012487, loss: 0.82062882
using time: 0.018867, loss: 0.80995011
using time: 0.013644, loss: 0.84754145
using time: 0.019680, loss: 0.84977311
using time: 0.016825, loss: 0.79446048
using time: 0.017930, loss: 0.84355134
using time: 0.015226, loss: 0.82873595
using time: 0.015942, loss: 0.88515288
using time: 0.015305, loss: 0.86468488
using time: 0.023362, loss: 0.84973615
using time: 0.017017, loss: 0.82424408
using time: 0.020428, loss: 0.81063920
using time: 0.014533, loss: 0.83928245
using time: 0.016919, loss: 0.86386645
using time: 0.021409, loss: 0.85202110
using time: 0.021117, loss: 0.85280031
using time: 0.024043, loss: 0.80229139
using time: 0.016416, loss: 0.82293999
using time: 0.014854, loss: 0.82386994
using time: 0.023524, loss: 0.80422896
using time: 0.017497, loss: 0.80884880
using time: 0.018119, loss: 0.80845994
using time: 0.026299, loss: 0.85493952
using time: 0.016355, loss: 0.81140482
using time: 0.019408, loss: 0.86224675
using time: 0.019558, loss: 0.83972746
using time: 0.018782, loss: 0.85344017
using time: 0.027607, loss: 0.84789979
using time: 0.016591, loss: 0.82918298
using time: 0.020212, loss: 0.82214677
using time: 0.018116, loss: 0.82033831
using time: 0.027786, loss: 0.81436235
using time: 0.016491, loss: 0.82249284
using time: 0.022551, loss: 0.86526245
using time: 0.014596, loss: 0.87607938
using time: 0.024398, loss: 0.86023492
using time: 0.016654, loss: 0.87872010
using time: 0.022750, loss: 0.83943474
using time: 0.017501, loss: 0.77620023
using time: 0.017293, loss: 0.85319597
using time: 0.014005, loss: 0.86711794
using time: 0.033379, loss: 0.83434016
using time: 0.026308, loss: 0.78870749
using time: 0.017239, loss: 0.75395358
using time: 0.023015, loss: 0.83299804
using time: 0.016485, loss: 0.80954301
using time: 0.014019, loss: 0.80255580
using time: 0.016036, loss: 0.82100952
using time: 0.015308, loss: 0.83055896
using time: 0.020159, loss: 0.81788963
using time: 0.026782, loss: 0.80974329
using time: 0.016885, loss: 0.83591306
using time: 0.018126, loss: 0.81321740
using time: 0.017078, loss: 0.83774978
using time: 0.022570, loss: 0.85691571
using time: 0.020874, loss: 0.86532944
using time: 0.015032, loss: 0.86562574
using time: 0.019188, loss: 0.81589967
using time: 0.015194, loss: 0.84337258
using time: 0.013154, loss: 0.79130369
using time: 0.017419, loss: 0.82061392
using time: 0.024487, loss: 0.78108835
using time: 0.019881, loss: 0.85266709
using time: 0.019453, loss: 0.83780169
using time: 0.015123, loss: 0.85650063
using time: 0.017134, loss: 0.82954925
using time: 0.023040, loss: 0.86154085
using time: 0.021879, loss: 0.81620330
using time: 0.018503, loss: 0.80250245
using time: 0.014292, loss: 0.82506537
using time: 0.016087, loss: 0.86956191
using time: 0.016400, loss: 0.81299895
using time: 0.021688, loss: 0.82242674
using time: 0.017235, loss: 0.86260360
using time: 0.018476, loss: 0.81002533
using time: 0.015230, loss: 0.81853127
using time: 0.016779, loss: 0.84631300
using time: 0.019557, loss: 0.81195921
using time: 0.017997, loss: 0.80237168
using time: 0.015635, loss: 0.86999953
using time: 0.025842, loss: 0.86176592
using time: 0.021833, loss: 0.83594602
using time: 0.016853, loss: 0.81310976
using time: 0.017520, loss: 0.85816419
using time: 0.013241, loss: 0.84332496
using time: 0.019114, loss: 0.84284902
using time: 0.024575, loss: 0.82293367
